exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E26	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	128	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_128.o	run_20260503_231253	/home/thu/gem5/output/run_20260503_231253/stats_20260503_231253.txt	1	interval_delta	1	after_mha	MHA	2.302908	2558544431	3213352773	9211632820	507567168	480967788	26599380	508192135	104830232	376041523	177745	62664400	19325353	107442960	1361923							
E26	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	128	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_128.o	run_20260503_231253	/home/thu/gem5/output/run_20260503_231253/stats_20260503_231253.txt	2	interval_delta	2	after_projection	Projection	0.649752	664964183	724560563	2599005924	68609533	65644130	2965403	68705750	8937171	68344511	63696	8792738	6805775	20931412	64753							
E26	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	128	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_128.o	run_20260503_231253	/home/thu/gem5/output/run_20260503_231253/stats_20260503_231253.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.007081	13957269	14961028	28326212	5059473	3274988	1784485	5031066	68074	3919885	38566	103024	46309	1616319	39827							
E26	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	128	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_128.o	run_20260503_231253	/home/thu/gem5/output/run_20260503_231253/stats_20260503_231253.txt	4	interval_delta	4	after_ff1	FF1	2.589127	2650340715	2888192393	10348734935	271286619	260442585	10844034	271770348	35295626	269687905	148689	35343840	27015143	81749426	146398							
E26	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	128	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_128.o	run_20260503_231253	/home/thu/gem5/output/run_20260503_231253/stats_20260503_231253.txt	5	interval_delta	5	after_ff2	FF2	2.841479	2628017229	2865255457	11365919836	267382062	259594134	7787928	268231902	67417111	265175815	150163	34868731	32133533	79291586	265905							
E26	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	128	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_128.o	run_20260503_231253	/home/thu/gem5/output/run_20260503_231253/stats_20260503_231253.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.009915	20671572	21746693	39657896	6981135	4497001	2484134	6942647	162955	6384196	39515	180998	63596	2316756	43489							
E26	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	128	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_128.o	run_20260503_231253	/home/thu/gem5/output/run_20260503_231253/stats_20260503_231253.txt	7	final_total	6	final_total	total_program	8.400262	8536495399	9728068907	33593277623	1126885990	1074420626	52465364	1128873848	216711169	989553835	618374	141953731	85389709	293348459	1922295	0.254113	3.935254	0.191971112967	0.000624901828	0.601531980868	0.006552940508	0.755201
E27	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	256	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_256.o	run_20260503_231444	/home/thu/gem5/output/run_20260503_231444/stats_20260503_231444.txt	1	interval_delta	1	after_mha	MHA	1.601712	826231744	1162022071	6406849452	227418888	206459228	20959660	263732190	102671341	167414674	155640	62626252	19208774	58276142	297587							
E27	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	256	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_256.o	run_20260503_231444	/home/thu/gem5/output/run_20260503_231444/stats_20260503_231444.txt	2	interval_delta	2	after_projection	Projection	0.465361	169167911	199327066	1861441956	20036680	18312247	1724433	20169291	17318353	25075208	59483	8775802	6841720	10766385	62090							
E27	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	256	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_256.o	run_20260503_231444	/home/thu/gem5/output/run_20260503_231444/stats_20260503_231444.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.006884	13730802	14711406	27536136	4993995	3235327	1758668	4969091	64801	3846038	37439	98787	43993	1573012	38697							
E27	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	256	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_256.o	run_20260503_231444	/home/thu/gem5/output/run_20260503_231444/stats_20260503_231444.txt	4	interval_delta	4	after_ff1	FF1	1.863092	668782180	788906716	7452369084	77692899	71579610	6113289	78302280	68512454	97305128	121103	35269961	27531515	41365820	128037							
E27	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	256	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_256.o	run_20260503_231444	/home/thu/gem5/output/run_20260503_231444/stats_20260503_231444.txt	5	interval_delta	5	after_ff2	FF2	2.091175	648060394	767630560	8364697776	74075908	70978071	3097837	74064524	51093656	92234175	124599	34813709	32084138	38944047	124648							
E27	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	256	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_256.o	run_20260503_231444	/home/thu/gem5/output/run_20260503_231444/stats_20260503_231444.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.009748	20432296	21495195	38993652	6918255	4467376	2450879	6892308	159979	6296551	40974	179594	62192	2267895	44770							
E27	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	256	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_256.o	run_20260503_231444	/home/thu/gem5/output/run_20260503_231444/stats_20260503_231444.txt	7	final_total	6	final_total	total_program	6.037972	2346405327	2954093014	24151888056	411136625	375031859	36104766	448129684	239820584	392171774	539238	141764105	85772332	153193301	695829	0.097152	10.293144	0.535158889408	0.001375004617	0.605035611800	0.004542163368	0.761249
E28	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	256	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_256.o	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	1	interval_delta	1	after_mha	MHA	1.710332	1058604522	1394454343	6841327456	228327337	207318276	21009061	280277178	96462647	179464686	164959	62624271	19310787	72505133	302045							
E28	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	256	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_256.o	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	2	interval_delta	2	after_projection	Projection	0.490092	246730498	276916632	1960369244	20367547	18616253	1751294	29015980	13124872	29468820	61849	8784441	6790329	15528215	62580							
E28	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	256	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_256.o	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.007030	13938762	14938670	28119364	5052787	3271541	1781246	5024014	67851	3909959	37478	101642	45541	1612592	38836							
E28	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	256	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_256.o	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	4	interval_delta	4	after_ff1	FF1	1.979240	978441896	1098624954	7916958440	78853791	72693933	6159858	113571782	52010495	114709408	133158	35300520	27507460	60298023	130802							
E28	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	256	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_256.o	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	5	interval_delta	5	after_ff2	FF2	2.228292	957759030	1077390671	8913167972	75247591	72097628	3149963	109936187	51125477	110837391	139046	34848814	32166590	57885997	259306							
E28	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	256	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_256.o	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.009808	20605410	21680196	39233120	6964497	4496909	2467588	6926093	163088	6334132	39603	172924	61686	2300536	43609							
E28	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	16	256	transformer_BERT_mini_int8_noTiling_4D_CB_16_SVE_256.o	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	7	final_total	6	final_total	total_program	6.424794	3276080118	3884005466	25699175596	414813550	378494540	36319010	544751234	212954430	444724396	576093	141832612	85882393	210130496	837178	0.127478	7.844489	0.390920509599	0.001295393293	0.605519363910	0.003984086156	0.452587
E29	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	512	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_512.o	run_20260503_231613	/home/thu/gem5/output/run_20260503_231613/stats_20260503_231613.txt	1	interval_delta	1	after_mha	MHA	1.446505	507816886	690474306	5786018668	140374146	120598408	19775738	191954441	96130760	107153290	155583	62364516	18990065	41629413	687145							
E29	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	512	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_512.o	run_20260503_231613	/home/thu/gem5/output/run_20260503_231613/stats_20260503_231613.txt	2	interval_delta	2	after_projection	Projection	0.261117	103679692	119096644	1044469664	11255211	9641914	1613297	11387154	8884466	17163082	53842	8729105	6793229	8295508	187604							
E29	Codebook-size scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	4	4	512	transformer_BERT_mini_int8_noTiling_4D_CB_4_SVE_512.o	run_20260503_231613	/home/thu/gem5/output/run_20260503_231613/stats_20260503_231613.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.006950	13756715	14743199	27798704	5003512	3240225	1763287	4979119	65482	3859072	38917	101058	44872	1578199	40001							
