exp_id	study	implementation	n_learners	codebook_size	sve_bits	gem5_timestamp	stats_file	output_file	stats_blocks	rows_written
E28	Codebook-size scaling	Codebook SIMD int8	4	16	256	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	/home/thu/TiC-SAT/transformer_profiling/final/e28_codebook_size_scaling_n4_cb16_sve256_run_20260503_231527.tsv	6	7
E29	Codebook-size scaling	Codebook SIMD int8	4	4	512	run_20260503_231613	/home/thu/gem5/output/run_20260503_231613/stats_20260503_231613.txt	/home/thu/TiC-SAT/transformer_profiling/final/e29_codebook_size_scaling_n4_cb4_sve512_run_20260503_231613.tsv	6	7
E30	Codebook-size scaling	Codebook SIMD int8	4	16	512	run_20260503_231638	/home/thu/gem5/output/run_20260503_231638/stats_20260503_231638.txt	/home/thu/TiC-SAT/transformer_profiling/final/e30_codebook_size_scaling_n4_cb16_sve512_run_20260503_231638.tsv	6	7
E31	Codebook-size scaling	Codebook SIMD int8	4	4	128	run_20260513_222915	/home/thu/gem5/output/run_20260513_222915/stats_20260513_222915.txt	/home/thu/TiC-SAT/transformer_profiling/final/e31_codebook_size_scaling_n4_cb4_sve128_run_20260513_222915.tsv	6	7
E32	Codebook-size scaling	Codebook SIMD int8	4	16	128	run_20260513_222916	/home/thu/gem5/output/run_20260513_222916/stats_20260513_222916.txt	/home/thu/TiC-SAT/transformer_profiling/final/e32_codebook_size_scaling_n4_cb16_sve128_run_20260513_222916.tsv	6	7
E33	Codebook-size scaling	Codebook SIMD int8	4	4	256	run_20260513_223200	/home/thu/gem5/output/run_20260513_223200/stats_20260513_223200.txt	/home/thu/TiC-SAT/transformer_profiling/final/e33_codebook_size_scaling_n4_cb4_sve256_run_20260513_223200.tsv	6	7
E34	Codebook-size scaling	Codebook SIMD int8	4	16	256	run_20260513_223201	/home/thu/gem5/output/run_20260513_223201/stats_20260513_223201.txt	/home/thu/TiC-SAT/transformer_profiling/final/e34_codebook_size_scaling_n4_cb16_sve256_run_20260513_223201.tsv	6	7
E35	Codebook-size scaling	Codebook SIMD int8	4	4	512	run_20260513_223251	/home/thu/gem5/output/run_20260513_223251/stats_20260513_223251.txt	/home/thu/TiC-SAT/transformer_profiling/final/e35_codebook_size_scaling_n4_cb4_sve512_run_20260513_223251.tsv	6	7
E36	Codebook-size scaling	Codebook SIMD int8	4	16	512	run_20260513_223253	/home/thu/gem5/output/run_20260513_223253/stats_20260513_223253.txt	/home/thu/TiC-SAT/transformer_profiling/final/e36_codebook_size_scaling_n4_cb16_sve512_run_20260513_223253.tsv	6	7
E37	Tiling baseline	Codebook SIMD int8	4	8	128	run_20260922_022540	/home/hlin/i2ce/runs/e09_base_minor_20260922_022540/stats.txt	/Users/hsing-yulin/Desktop/semester_project_test/I2CE_tranformers/transformer_profiling/final/e37_tiling_baseline_n4_cb8_sve128_run_20260922_022540.tsv	7	7
E38	Tiling	Codebook SIMD int8 tiled	4	8	128	run_20260922_022540	/home/hlin/i2ce/runs/e09_tiling_minor_20260922_022540/stats.txt	/Users/hsing-yulin/Desktop/semester_project_test/I2CE_tranformers/transformer_profiling/final/e38_tiling_n4_cb8_sve128_run_20260922_022540.tsv	7	7
E39	Tiling	tiling	4	8	128	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_tiling_minor_20260923_001316/stats.txt	/Users/hsing-yulin/Desktop/semester_project_test/I2CE_tranformers/transformer_profiling/final/e39_tiling_n4_cb8_sve128_run_20260923_001316.tsv	7	7
E40	Tiling	tiling_regfix	4	8	128	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_v3_minor_20260923_001316/stats.txt	/Users/hsing-yulin/Desktop/semester_project_test/I2CE_tranformers/transformer_profiling/final/e40_tiling_n4_cb8_sve128_run_20260923_001316.tsv	7	7
