exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E39	Tiling	BERT-mini	64	512	256	4	1024	tiling	4	8	128	transformer_tiling_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_tiling_minor_20260923_001316/stats.txt	1	interval_delta	1	after_mha	MHA	0.950398	1525846760	2227451470	3801591184	513348797	453136047	60212750	513260998	72285897	422113114	161323	36876377	2333788	146210738	1520208							
E39	Tiling	BERT-mini	64	512	256	4	1024	tiling	4	8	128	transformer_tiling_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_tiling_minor_20260923_001316/stats.txt	2	interval_delta	2	after_projection	Projection	0.148696	319408031	394402541	594783448	70456026	56564153	13891873	70421142	356648	83069540	43583	311063	223413	33605123	111460							
E39	Tiling	BERT-mini	64	512	256	4	1024	tiling	4	8	128	transformer_tiling_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_tiling_minor_20260923_001316/stats.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.006597	13924713	14915214	26388908	5043318	3269479	1773839	5012606	67540	4284422	34422	98502	45298	1610122	36307							
E39	Tiling	BERT-mini	64	512	256	4	1024	tiling	4	8	128	transformer_tiling_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_tiling_minor_20260923_001316/stats.txt	4	interval_delta	4	after_ff1	FF1	0.590000	1269934268	1569678247	2360002388	279654333	224811835	54842498	279594502	1814451	329336908	94136	1365487	830876	132826850	343912							
E39	Tiling	BERT-mini	64	512	256	4	1024	tiling	4	8	128	transformer_tiling_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_tiling_minor_20260923_001316/stats.txt	5	interval_delta	5	after_ff2	FF2	0.593563	1251731095	1546401149	2374251096	273567877	221760490	51807387	273506655	2063749	322001632	89601	1736272	1006609	130027643	211180							
E39	Tiling	BERT-mini	64	512	256	4	1024	tiling	4	8	128	transformer_tiling_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_tiling_minor_20260923_001316/stats.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.009657	20525475	21578590	38627512	6933811	4471719	2462092	6895971	157252	6227054	36331	173249	61043	2289354	40991							
E39	Tiling	BERT-mini	64	512	256	4	1024	tiling	4	8	128	transformer_tiling_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_tiling_minor_20260923_001316/stats.txt	7	final_total	6	final_total	total_program	2.298911	4401370342	5774427211	9195644536	1149004162	964013723	184990439	1148691874	76745537	1167032670	459396	40560950	4501027	446569830	2264058	0.478636	2.089269	0.066811247417	0.000393644507	0.110969466938	0.005069885711	0.797429
