exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E38	Tiling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8 tiled	4	8	128	transformer_tiling_profiling.o	run_20260922_022540	/home/hlin/i2ce/runs/e09_tiling_minor_20260922_022540/stats.txt	1	interval_delta	1	after_mha	MHA	0.950453	1525846085	2227450538	3801813924	513348512	453135929	60212583	513259754	72294000	422112971	160596	36880738	2334529	146211417	1520259							
E38	Tiling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8 tiled	4	8	128	transformer_tiling_profiling.o	run_20260922_022540	/home/hlin/i2ce/runs/e09_tiling_minor_20260922_022540/stats.txt	2	interval_delta	2	after_projection	Projection	0.148751	319421869	394419390	595003236	70461202	56566918	13894284	70425585	363521	83076225	44665	318368	224542	33608077	112247							
E38	Tiling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8 tiled	4	8	128	transformer_tiling_profiling.o	run_20260922_022540	/home/hlin/i2ce/runs/e09_tiling_minor_20260922_022540/stats.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.006562	13914074	14902043	26246956	5039231	3267304	1771927	5008240	67495	4278796	33591	97629	44653	1607849	35724							
E38	Tiling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8 tiled	4	8	128	transformer_tiling_profiling.o	run_20260922_022540	/home/hlin/i2ce/runs/e09_tiling_minor_20260922_022540/stats.txt	4	interval_delta	4	after_ff1	FF1	0.589938	1269924315	1569666529	2359753268	279650960	224809933	54841027	279591709	1813938	329331723	93695	1362480	829887	132824943	343592							
E38	Tiling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8 tiled	4	8	128	transformer_tiling_profiling.o	run_20260922_022540	/home/hlin/i2ce/runs/e09_tiling_minor_20260922_022540/stats.txt	5	interval_delta	5	after_ff2	FF2	0.593644	1251732940	1546402232	2374575092	273567688	221760755	51806933	273506024	2059300	322008043	90220	1734382	1006382	130026557	211765							
E38	Tiling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8 tiled	4	8	128	transformer_tiling_profiling.o	run_20260922_022540	/home/hlin/i2ce/runs/e09_tiling_minor_20260922_022540/stats.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.009617	20520345	21572855	38467744	6932307	4470756	2461551	6894310	157510	6223765	36006	172917	60365	2288325	40577							
E38	Tiling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8 tiled	4	8	128	transformer_tiling_profiling.o	run_20260922_022540	/home/hlin/i2ce/runs/e09_tiling_minor_20260922_022540/stats.txt	7	final_total	6	final_total	total_program	2.298965	4401359628	5774413587	9195860220	1148999900	964011595	184988305	1148685622	76755764	1167031523	458773	40566514	4500358	446567168	2264164	0.478624	2.089323	0.066820514273	0.000393111061	0.110937755214	0.005070153299	0.797421
