exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E40	Tiling	BERT-mini	64	512	256	4	1024	tiling_regfix	4	8	128	transformer_v3_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_v3_minor_20260923_001316/stats.txt	1	interval_delta	1	after_mha	MHA	0.916103	1339807109	2041017584	3664411740	454554960	422452805	32102155	454299635	72121886	276273295	142690	36746173	2279553	81316843	1517615							
E40	Tiling	BERT-mini	64	512	256	4	1024	tiling_regfix	4	8	128	transformer_v3_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_v3_minor_20260923_001316/stats.txt	2	interval_delta	2	after_projection	Projection	0.138520	257399529	332260467	554080916	50856911	46337954	4518957	50756396	362974	34738721	43104	317581	227915	11975482	110905							
E40	Tiling	BERT-mini	64	512	256	4	1024	tiling_regfix	4	8	128	transformer_v3_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_v3_minor_20260923_001316/stats.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.006613	13924690	14915189	26450764	5043353	3269482	1773871	5012620	67649	4284411	34394	98622	45494	1609923	36371							
E40	Tiling	BERT-mini	64	512	256	4	1024	tiling_regfix	4	8	128	transformer_v3_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_v3_minor_20260923_001316/stats.txt	4	interval_delta	4	after_ff1	FF1	0.546775	1021900720	1321109047	2187102120	201255508	183907342	17348166	200936983	1794280	136016223	83721	1338749	826616	46311309	342319							
E40	Tiling	BERT-mini	64	512	256	4	1024	tiling_regfix	4	8	128	transformer_v3_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_v3_minor_20260923_001316/stats.txt	5	interval_delta	5	after_ff2	FF2	0.541440	1004296580	1298564853	2165759380	194846167	181120480	13725687	194590281	1512712	128239573	84434	1321015	867452	43578067	211552							
E40	Tiling	BERT-mini	64	512	256	4	1024	tiling_regfix	4	8	128	transformer_v3_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_v3_minor_20260923_001316/stats.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.009622	20508991	21558476	38486884	6927679	4468493	2459186	6889561	156807	6218002	36339	172739	60517	2286093	40214							
E40	Tiling	BERT-mini	64	512	256	4	1024	tiling_regfix	4	8	128	transformer_v3_profiling.o	run_20260923_001316	/Users/hsing-yulin/i2ce/runs/e39_v3_minor_20260923_001316/stats.txt	7	final_total	6	final_total	total_program	2.159073	3657837619	5029425616	8636291804	913484578	841556556	71928022	912485476	76016308	585770225	424682	39994879	4307547	187077717	2258976	0.423543	2.361038	0.083306868985	0.000724997588	0.107702463608	0.012075067176	0.828281
